Fornecedor;Número.do.lote;Data.da.compra;Valor.da.compra;Valor.da.venda;diferenca
1;A;AXH - 29;2016-05-30;13373;18122;4749
2;A;AXH - 30;2016-05-31;13306;20998;7692
3;A;AXH - 31;2016-06-01;10210;18632;8422
4;A;AXH - 32;2016-06-02;13350;21314;7964
5;A;AXH - 33;2016-06-03;10172;19826;9654
6;A;AXH - 34;2016-06-04;12598;18162;5564
7;A;AXH - 35;2016-06-05;13259;21909;8650
8;A;AXH - 36;2016-06-06;12995;NA;NA
9;A;AXH - 37;2016-06-07;14781;20895;6114
10;B;BDC - 12;2016-05-28;13269;21622;8353
11;B;BDC - 13;2016-05-29;13903;18434;4531
12;B;BDC - 14;2016-05-30;13879;20507;6628
13;B;BDC - 15;2016-05-31;10276;19092;8816
14;B;BDC - 16;2016-06-01;12870;20708;7838
15;B;BDC - 17;2016-06-02;14802;21578;6776
16;B;BDC - 18;2016-06-03;12806;21727;8921
17;B;BDC - 19;2016-06-04;10828;21410;10582
18;B;BDC - 20;2016-06-05;13029;20360;7331
19;B;BDC - 21;NA;10386;18306;7920
20;B;BDC - 22;2016-06-07;11037;20030;8993
21;C;CAS - 86;2016-06-10;13582;18057;4475
22;C;CAS - 87;2016-06-11;12037;18043;6006
23;C;;2016-06-12;12123;19921;7798
24;C;CAS - 89;2016-06-13;12771;19963;7192
25;C;CAS - 90;2016-06-14;13493;20875;7382
26;C;CAS - 91;2016-06-15;13800;19016;5216
27;C;CAS - 92;2016-06-16;14652;21717;7065
28;D;DNM - 01;2016-03-02;10044;20555;10511
29;D;DNM - 02;2016-03-02;10702;19016;8314
30;D;DNM - 03;2016-03-03;12669;18048;5379
31;D;DNM - 04;2016-03-03;11970;18434;6464
32;D;DNM - 05;2016-03-04;12149;21595;9446
33;D;DNM - 06;2016-03-04;10810;20842;10032
34;D;DNM - 07;2016-03-05;11494;20088;8594
35;D;DNM - 08;2016-03-05;13535;19298;5763
36;D;DNM - 09;2016-03-06;13800;20958;7158
37;D;DNM - 10;2016-03-06;NA;19421;NA
38;D;DNM - 11;2016-03-07;13219;20093;6874
39;D;DNM - 12;2016-03-07;10409;20955;10546
40;D;DNM - 13;2016-03-08;13230;19072;5842
41;D;DNM - 14;2016-03-08;12512;21052;8540
42;D;DNM - 15;2016-03-09;10490;21652;11162
43;D;DNM - 16;2016-03-09;13436;19666;6230
44;D;DNM - 17;2016-03-10;13582;20511;6929
45;D;DNM - 18;2016-03-10;12433;18172;5739
46;D;DNM - 19;2016-03-11;13460;19050;5590
47;D;DNM - 20;2016-03-11;11225;19748;8523
48;D;DNM - 21;2016-03-12;10178;21424;11246
49;D;DNM - 22;2016-03-12;13937;19964;6027
50;D;DNM - 23;2016-03-13;12391;19985;7594
51;D;DNM - 24;2016-03-13;14036;21287;7251
52;D;DNM - 25;2016-03-14;14965;20717;5752
53;D;DNM - 26;2016-03-14;11162;18516;7354
54;D;DNM - 27;2016-03-15;13233;20715;7482
55;D;DNM - 28;2016-03-15;13721;19355;5634
56;D;DNM - 29;2016-03-16;12662;18489;5827
